payment_id,order_id,created_at,amount,currency,method,status,customer_email,merchant
pay_brnTP3fAbn,order_FbmOHnK,2026-08-14 00:00:00,20176.15,INR,CARD,failed,dev.shah24@example.com,URBAN COMPANY
pay_7uff0LYTH8,order_xIZM1JR,2026-08-08 00:00:00,2499.00,INR,NETBANKING,captured,rohan.patel37@example.com,Myntra
pay_CZkwPRQeNH,order_pCq5Qnu,2026-08-12 00:00:00,349.00,INR,UPI,captured,arjun.malhotra45@example.com,Urban Company
pay_2tOy4CqpIq,order_K3yn9Ff,2026-08-14 00:00:00,8056.83,INR,CARD,failed,priya.nair82@example.com,Myntra
pay_KDpI6Qh2UV,order_vsjaSS8,2026-08-10 00:00:00,4999.00,INR,UPI,failed,arjun.malhotra58@example.com,Urban Company
pay_HWGaub52Zt,order_d26fEeV,2026-08-06 00:00:00,1499.00,INR,WALLET,refunded,kavya.iyer30@example.com,Urban Company
pay_x3BpdbIKaR,order_debuFrE,2026-08-16 00:00:00,4999.00,INR,WALLET,captured,dev.shah93@example.com,MEESHO
pay_gAACTP9gyv,order_1plBArp,2026-08-21 00:00:00,2499.00,INR,UPI,captured,priya.nair22@example.com,Cult.fit
pay_kEnydx9qWC,order_A79ISjs,2026-08-11 00:00:00,999.00,INR,UPI,failed,ananya.sharma40@example.com,Myntra
pay_F0j7elKPoh,order_3pKMzKG,2026-08-09 00:00:00,1499.00,INR,NETBANKING,captured,ishita.gupta71@example.com,Cult.fit
pay_stUeC99enq,order_522wjZR,2026-08-17 00:00:00,21142.00,INR,UPI,failed,dev.shah92@example.com,AJIO
pay_hgIqLSmNqE,order_40fAraV,2026-08-14 00:00:00,8231.64,INR,WALLET,refunded,rohan.patel43@example.com,Amazon
pay_6QjcwIAcw5,order_8cwQPvI,2026-08-06 00:00:00,1301.00,INR,CARD,captured,ananya.sharma19@example.com,CRED
pay_l5WzPTpjRx,order_cDm4vY2,2026-08-11 00:00:00,349.00,INR,WALLET,captured,arjun.malhotra13@example.com,Flipkart
pay_Ny8H6h8l7q,order_gATtLFx,2026-08-17 00:00:00,199.00,INR,WALLET,captured,aditya.rao54@example.com,AJIO
pay_ePut0Sstzy,order_shA6P3M,2026-08-10 00:00:00,2999.00,INR,UPI,captured,kavya.iyer65@example.com,Zepto
pay_OCBnD3XkfF,order_NuYUPnm,2026-08-14 00:00:00,799.00,INR,UPI,captured,ishita.gupta87@example.com,Myntra
pay_xyjQ312WnX,order_RCI4hiC,2026-08-17 00:00:00,16909.05,INR,WALLET,refunded,meera.joshi99@example.com,Meesho
pay_U0rWEoBSou,order_3ejxjnz,2026-08-14 00:00:00,599.00,INR,UPI,captured,sneha.kapoor43@example.com,Blinkit
pay_6sy3ZHTX3E,order_qEyPXS0,2026-08-19 00:00:00,1289.00,INR,UPI,captured,sneha.kapoor10@example.com,Cult.fit
pay_iCdxnuVxUZ,order_pfbH9vO,2026-08-07 00:00:00,5805.16,INR,UPI,captured,dev.shah64@example.com,Urban Company
pay_oDh6CpwL7S,order_WktJ5J4,2026-08-20 00:00:00,1999.00,INR,CARD,captured,ishita.gupta29@example.com,BookMyShow
pay_V0Lh8WvAwF,order_v0Yg7NZ,2026-08-18 00:00:00,299.00,INR,NETBANKING,refunded,ananya.sharma99@example.com,MakeMyTrip
pay_ZKtp5rBUJP,order_uEuEvqr,2026-08-07 00:00:00,399.00,INR,UPI,refunded,sneha.kapoor65@example.com,RAZORPAY*AJIO
pay_EVQOEXfnQs,order_KDGAUuR,2026-08-07 00:00:00,359.00,INR,UPI,failed,meera.joshi62@example.com,Zepto
pay_6QlTrKVL8Z,order_swsRhcd,2026-08-01 00:00:00,299.00,INR,WALLET,captured,meera.joshi78@example.com,Zepto
pay_Bld6DYyeNd,order_jIs9hVL,2026-08-15 00:00:00,2499.00,INR,WALLET,captured,sneha.kapoor71@example.com,Urban Company
pay_d7gVMqfoIj,order_zQDcrr1,2026-08-19 00:00:00,4999.00,INR,NETBANKING,failed,ishita.gupta89@example.com,RAZORPAY*SWIGGY
